index,readout,read_val,name,model_name,p_val,log2FC,xnorm,pname
67,Decay,64.60000000000001,IL2,thres,15.155172413793103,0.0,1.013840830449827,beta_naive
68,Peak,1112.1478426999888,IL2,thres,15.258620689655173,-0.014468486830557861,1.0207612456747404,beta_naive
69,Area,6218.259625888599,IL2,thres,15.258620689655173,-0.012750244271754708,1.0207612456747404,beta_naive
70,Peaktime,6.355187474080982,IL2,thres,15.258620689655173,-0.004485806050733613,1.0207612456747404,beta_naive
71,Decay,64.5,IL2,thres,15.258620689655173,-0.00223500438330862,1.0207612456747404,beta_naive
72,Peak,1108.507352415301,IL2,thres,15.362068965517242,-0.019198732207511046,1.027681660899654,beta_naive
73,Area,6200.331719747673,IL2,thres,15.362068965517242,-0.016915695655264056,1.027681660899654,beta_naive
74,Peaktime,6.3488081219077035,IL2,thres,15.362068965517242,-0.005934714065304206,1.027681660899654,beta_naive
75,Decay,64.5,IL2,thres,15.362068965517242,-0.00223500438330862,1.027681660899654,beta_naive
76,Peak,1104.9134461844737,IL2,thres,15.46551724137931,-0.02388371145443994,1.0346020761245673,beta_naive
77,Area,6182.63247558905,IL2,thres,15.46551724137931,-0.02103985022134268,1.0346020761245673,beta_naive
78,Peaktime,6.3425331254435395,IL2,thres,15.46551724137931,-0.007361341376272261,1.0346020761245673,beta_naive
79,Decay,64.5,IL2,thres,15.46551724137931,-0.00223500438330862,1.0346020761245673,beta_naive
80,Peak,1101.3654522063548,IL2,thres,15.568965517241379,-0.02852381179129159,1.041522491349481,beta_naive
81,Area,6165.1573658086845,IL2,thres,15.568965517241379,-0.025123377941675944,1.041522491349481,beta_naive
82,Peaktime,6.336360207086469,IL2,thres,15.568965517241379,-0.008766138967299887,1.041522491349481,beta_naive
83,Decay,64.5,IL2,thres,15.568965517241379,-0.00223500438330862,1.041522491349481,beta_naive
84,Peak,1097.8614997220448,IL2,thres,15.672413793103448,-0.03312100822495385,1.0484429065743943,beta_naive
85,Area,6147.90192129738,IL2,thres,15.672413793103448,-0.02916694825853248,1.0484429065743943,beta_naive
86,Peaktime,6.330285177687905,IL2,thres,15.672413793103448,-0.010149996364793011,1.0484429065743943,beta_naive
87,Decay,64.5,IL2,thres,15.672413793103448,-0.00223500438330862,1.0484429065743943,beta_naive
88,Peak,1094.4019784138727,IL2,thres,15.775862068965518,-0.03767432804982081,1.055363321799308,beta_naive
89,Area,6130.861667807601,IL2,thres,15.775862068965518,-0.033171244751282615,1.055363321799308,beta_naive
90,Peaktime,6.324305375254311,IL2,thres,15.775862068965518,-0.011513459200271206,1.055363321799308,beta_naive
91,Decay,64.4,IL2,thres,15.775862068965518,-0.004473476579307974,1.055363321799308,beta_naive
