index,readout,read_val,name,model_name,p_val,log2FC,xnorm,pname
31,Decay,64.4,IL2,thres,12289655.172413794,-0.004473476579307974,0.9515570934256056,rate_il2_prec
32,Peak,1073.1608560072555,IL2,thres,12379034.48275862,-0.05873862291996312,0.958477508650519,rate_il2_prec
33,Area,6026.068658355035,IL2,thres,12379034.48275862,-0.05168412803262176,0.958477508650519,rate_il2_prec
34,Peaktime,6.377243893043345,IL2,thres,12379034.48275862,0.0011954613655913865,0.958477508650519,rate_il2_prec
35,Decay,64.4,IL2,thres,12379034.48275862,-0.004473476579307974,0.958477508650519,rate_il2_prec
36,Peak,1080.617174496124,IL2,thres,12468413.793103449,-0.04874944434072807,0.9653979238754326,rate_il2_prec
37,Area,6062.82515409355,IL2,thres,12468413.793103449,-0.042911021351818276,0.9653979238754326,rate_il2_prec
38,Peaktime,6.3762168593657265,IL2,thres,12468413.793103449,0.0009631014712075456,0.9653979238754326,rate_il2_prec
39,Decay,64.5,IL2,thres,12468413.793103449,-0.00223500438330862,0.9653979238754326,rate_il2_prec
40,Peak,1088.063216902442,IL2,thres,12557793.103448277,-0.0388425805086782,0.972318339100346,rate_il2_prec
41,Area,6099.528680305998,IL2,thres,12557793.103448277,-0.03420347070526555,0.972318339100346,rate_il2_prec
42,Peaktime,6.375239568511255,IL2,thres,12557793.103448277,0.0007419608226879702,0.972318339100346,rate_il2_prec
43,Decay,64.5,IL2,thres,12557793.103448277,-0.00223500438330862,0.972318339100346,rate_il2_prec
44,Peak,1095.5011273933696,IL2,thres,12647172.413793104,-0.029013991659765353,0.9792387543252595,rate_il2_prec
45,Area,6136.189542421542,IL2,thres,12647172.413793104,-0.025558191159224395,0.9792387543252595,rate_il2_prec
46,Peaktime,6.37433595989781,IL2,thres,12647172.413793104,0.0005374627725688437,0.9792387543252595,rate_il2_prec
47,Decay,64.5,IL2,thres,12647172.413793104,-0.00223500438330862,0.9792387543252595,rate_il2_prec
48,Peak,1102.9281274990817,IL2,thres,12736551.724137932,-0.01926618016130022,0.986159169550173,rate_il2_prec
49,Area,6172.794581231619,IL2,thres,12736551.724137932,-0.016977456451522613,0.986159169550173,rate_il2_prec
50,Peaktime,6.373490543526723,IL2,thres,12736551.724137932,0.0003461081118327721,0.986159169550173,rate_il2_prec
51,Decay,64.5,IL2,thres,12736551.724137932,-0.00223500438330862,0.986159169550173,rate_il2_prec
52,Peak,1110.34700079952,IL2,thres,12825931.034482758,-0.009594348883498045,0.9930795847750864,rate_il2_prec
53,Area,6209.3556517666075,IL2,thres,12825931.034482758,-0.008457671527240963,0.9930795847750864,rate_il2_prec
54,Peaktime,6.372699035116405,IL2,thres,12825931.034482758,0.00016693217022132676,0.9930795847750864,rate_il2_prec
55,Decay,64.60000000000001,IL2,thres,12825931.034482758,0.0,0.9930795847750864,rate_il2_prec
56,Peak,1117.7557447464724,IL2,thres,12915310.344827587,0.0,1.0,rate_il2_prec
57,Area,6245.864357680225,IL2,thres,12915310.344827587,0.0,1.0,rate_il2_prec
58,Peaktime,6.371961701926472,IL2,thres,12915310.344827587,0.0,1.0,rate_il2_prec
59,Decay,64.60000000000001,IL2,thres,12915310.344827587,0.0,1.0,rate_il2_prec
60,Peak,1125.1552875976556,IL2,thres,13004689.655172415,0.009519167146829547,1.0069204152249136,rate_il2_prec
61,Area,6282.324400120962,IL2,thres,13004689.655172415,0.008397202810095915,1.0069204152249136,rate_il2_prec
62,Peaktime,6.3712764810186355,IL2,thres,13004689.655172415,-0.0001551512719780771,1.0069204152249136,rate_il2_prec
63,Decay,64.60000000000001,IL2,thres,13004689.655172415,0.0,1.0069204152249136,rate_il2_prec
64,Peak,1132.546827984477,IL2,thres,13094068.965517242,0.01896574266025472,1.013840830449827,rate_il2_prec
65,Area,6318.741313738299,IL2,thres,13094068.965517242,0.01673596528329914,1.013840830449827,rate_il2_prec
66,Peaktime,6.370640932188846,IL2,thres,13094068.965517242,-0.00029907045085937384,1.013840830449827,rate_il2_prec
67,Decay,64.60000000000001,IL2,thres,13094068.965517242,0.0,1.013840830449827,rate_il2_prec
68,Peak,1139.9268768232469,IL2,thres,13183448.27586207,0.028336321752175975,1.0207612456747406,rate_il2_prec
69,Area,6355.10025302513,IL2,thres,13183448.27586207,0.025013645736956098,1.0207612456747406,rate_il2_prec
70,Peaktime,6.370056667194443,IL2,thres,13183448.27586207,-0.00043138914126175735,1.0207612456747406,rate_il2_prec
71,Decay,64.7,IL2,thres,13183448.27586207,0.0022315472985826594,1.0207612456747406,rate_il2_prec
72,Peak,1147.297113389052,IL2,thres,13272827.586206898,0.037634091093647,1.027681660899654,rate_il2_prec
73,Area,6391.40807211854,IL2,thres,13272827.586206898,0.033232563558830454,1.027681660899654,rate_il2_prec
74,Peaktime,6.369520945583705,IL2,thres,13272827.586206898,-0.0005527248613390773,1.027681660899654,rate_il2_prec
75,Decay,64.7,IL2,thres,13272827.586206898,0.0022315472985826594,1.027681660899654,rate_il2_prec
76,Peak,1154.657343268008,IL2,thres,13362206.896551725,0.04685981951858212,1.0346020761245676,rate_il2_prec
77,Area,6427.665451427183,IL2,thres,13362206.896551725,0.04139360276565857,1.0346020761245676,rate_il2_prec
78,Peaktime,6.369042798528634,IL2,thres,13362206.896551725,-0.0006610291253594347,1.0346020761245676,rate_il2_prec
79,Decay,64.7,IL2,thres,13362206.896551725,0.0022315472985826594,1.0346020761245676,rate_il2_prec
80,Peak,1162.0078575831647,IL2,thres,13451586.206896553,0.05601486370264429,1.041522491349481,rate_il2_prec
81,Area,6463.871123076318,IL2,thres,13451586.206896553,0.04949719537801627,1.041522491349481,rate_il2_prec
82,Peaktime,6.368600406700223,IL2,thres,13451586.206896553,-0.0007612417764679461,1.041522491349481,rate_il2_prec
83,Decay,64.7,IL2,thres,13451586.206896553,0.0022315472985826594,1.041522491349481,rate_il2_prec
84,Peak,1169.3484342386946,IL2,thres,13540965.517241381,0.06509991738766822,1.0484429065743945,rate_il2_prec
85,Area,6500.025384760411,IL2,thres,13540965.517241381,0.05754411386951862,1.0484429065743945,rate_il2_prec
86,Peaktime,6.368202865125112,IL2,thres,13540965.517241381,-0.0008513006785181514,1.0484429065743945,rate_il2_prec
87,Decay,64.8,IL2,thres,13540965.517241381,0.004459648190699556,1.0484429065743945,rate_il2_prec
88,Peak,1176.6790339757829,IL2,thres,13630344.827586208,0.07411588540212145,1.055363321799308,rate_il2_prec
89,Area,6536.128648432463,IL2,thres,13630344.827586208,0.06553514136024552,1.055363321799308,rate_il2_prec
90,Peaktime,6.367849030339489,IL2,thres,13630344.827586208,-0.000931462991742733,1.055363321799308,rate_il2_prec
91,Decay,64.8,IL2,thres,13630344.827586208,0.004459648190699556,1.055363321799308,rate_il2_prec
92,Peak,1183.9997168577415,IL2,thres,13719724.137931036,0.08306377527666066,1.0622837370242215,rate_il2_prec
93,Area,6572.179996336398,IL2,thres,13719724.137931036,0.07347075431920529,1.0622837370242215,rate_il2_prec
94,Peaktime,6.367533946379363,IL2,thres,13719724.137931036,-0.0010028499406332268,1.0622837370242215,rate_il2_prec
95,Decay,64.8,IL2,thres,13719724.137931036,0.004459648190699556,1.0622837370242215,rate_il2_prec
96,Peak,1191.3046776016502,IL2,thres,13809103.448275864,0.09193747069789412,1.0692041522491351,rate_il2_prec
97,Area,6608.152481645407,IL2,thres,13809103.448275864,0.08134573852148957,1.0692041522491351,rate_il2_prec
98,Peaktime,6.367262163652565,IL2,thres,13809103.448275864,-0.0010644291899314787,1.0692041522491351,rate_il2_prec
99,Decay,64.8,IL2,thres,13809103.448275864,0.004459648190699556,1.0692041522491351,rate_il2_prec
100,Peak,1198.6084691902847,IL2,thres,13898482.75862069,0.10075551224345744,1.0761245674740485,rate_il2_prec
101,Area,6644.116590149821,IL2,thres,13898482.75862069,0.08917615127311011,1.0761245674740485,rate_il2_prec
102,Peaktime,6.367029472751776,IL2,thres,13898482.75862069,-0.0011171532861355483,1.0761245674740485,rate_il2_prec
103,Decay,64.8,IL2,thres,13898482.75862069,0.004459648190699556,1.0761245674740485,rate_il2_prec
104,Peak,1205.8987997356562,IL2,thres,13987862.068965519,0.10950387918669567,1.083044982698962,rate_il2_prec
105,Area,6680.012837216751,IL2,thres,13987862.068965519,0.09694963669362695,1.083044982698962,rate_il2_prec
106,Peaktime,6.366839270054912,IL2,thres,13987862.068965519,-0.0011602516552317826,1.083044982698962,rate_il2_prec
107,Decay,64.9,IL2,thres,13987862.068965519,0.00668431330521369,1.083044982698962,rate_il2_prec
108,Peak,1213.1790096078141,IL2,thres,14077241.379310347,0.11818748113451208,1.0899653979238755,rate_il2_prec
109,Area,6715.856767959076,IL2,thres,14077241.379310347,0.10467022312285611,1.0899653979238755,rate_il2_prec
110,Peaktime,6.366687456180835,IL2,thres,14077241.379310347,-0.0011946523563082624,1.0899653979238755,rate_il2_prec
111,Decay,64.9,IL2,thres,14077241.379310347,0.00668431330521369,1.0899653979238755,rate_il2_prec
112,Peak,1220.449062561721,IL2,thres,14166620.689655174,0.1268071224543409,1.0968858131487889,rate_il2_prec
113,Area,6751.649338450718,IL2,thres,14166620.689655174,0.11233873800901234,1.0968858131487889,rate_il2_prec
114,Peaktime,6.366572998261519,IL2,thres,14166620.689655174,-0.0012205888198216213,1.0968858131487889,rate_il2_prec
115,Decay,64.9,IL2,thres,14166620.689655174,0.00668431330521369,1.0968858131487889,rate_il2_prec
116,Peak,1227.711149740608,IL2,thres,14256000.000000002,0.13536620926301807,1.1038062283737025,rate_il2_prec
117,Area,6787.398052992664,IL2,thres,14256000.000000002,0.1199573852524698,1.1038062283737025,rate_il2_prec
118,Peaktime,6.366490919362716,IL2,thres,14256000.000000002,-0.0012391883997864147,1.1038062283737025,rate_il2_prec
119,Decay,64.9,IL2,thres,14256000.000000002,0.00668431330521369,1.1038062283737025,rate_il2_prec
0,Peak,1245.3931645470748,IL2,thres,311040.0,0.1462667407217203,0.903114186851211,up_il2
1,Area,6957.285215308972,IL2,thres,311040.0,0.1464504012110529,0.903114186851211,up_il2
2,Peaktime,6.4518011665479165,IL2,thres,311040.0,0.017444866078095735,0.903114186851211,up_il2
3,Decay,65.10000000000001,IL2,thres,311040.0,0.011123378471710724,0.903114186851211,up_il2
4,Peak,1235.96857629321,IL2,thres,313423.4482758621,0.13530753884852187,0.9100346020761245,up_il2
5,Area,6904.572011409145,IL2,thres,313423.4482758621,0.13547792570579742,0.9100346020761245,up_il2
6,Peaktime,6.445993935790577,IL2,thres,313423.4482758621,0.01614571943875408,0.9100346020761245,up_il2
7,Decay,65.10000000000001,IL2,thres,313423.4482758621,0.011123378471710724,0.9100346020761245,up_il2
8,Peak,1226.6862110107618,IL2,thres,315806.8965517241,0.12443172641253226,0.9169550173010379,up_il2
9,Area,6852.654463026932,IL2,thres,315806.8965517241,0.12458887836683523,0.9169550173010379,up_il2
10,Peaktime,6.440232394200066,IL2,thres,315806.8965517241,0.014855636861973245,0.9169550173010379,up_il2
11,Decay,65.0,IL2,thres,315806.8965517241,0.008905553221891738,0.9169550173010379,up_il2
12,Peak,1217.5428665450725,IL2,thres,318190.3448275862,0.11363804150867235,0.9238754325259515,up_il2
13,Area,6801.514723371232,IL2,thres,318190.3448275862,0.11378201157431261,0.9238754325259515,up_il2
14,Peaktime,6.434514747010723,IL2,thres,318190.3448275862,0.013574241321162932,0.9238754325259515,up_il2
15,Decay,65.0,IL2,thres,318190.3448275862,0.008905553221891738,0.9238754325259515,up_il2
16,Peak,1208.5354440051835,IL2,thres,320573.7931034483,0.10292525991112624,0.930795847750865,up_il2
17,Area,6751.135412907597,IL2,thres,320573.7931034483,0.1030560922267699,0.930795847750865,up_il2
